Point,Corner,C1,L1,C2,L2,Pass/Fail,fc,PhaseMargin,GainMargin
1.0,nom,1e-06,4e-05,1e-05,0.0001,,3.743e3,51.42,12.97
2.0,nom,1e-06,4e-05,1e-05,8e-05,,3.704e3,52.94,21.31
3.0,nom,1e-06,4e-05,1e-05,8.444e-05,,3.712e3,52.59,17.84
4.0,nom,1e-06,4e-05,1e-05,8.889e-05,,3.719e3,52.22,15.34
5.0,nom,1e-06,4e-05,1e-05,9.333e-05,,3.727e3,51.8,13.75
6.0,nom,1e-06,4e-05,1e-05,9.778e-05,,3.742e3,51.71,13.32
7.0,nom,1e-06,4e-05,1e-05,0.0001022,,3.752e3,51.46,13.23
8.0,nom,1e-06,4e-05,1e-05,0.00010669999999999999,,3.761e3,51.1,13.24
9.0,nom,1e-06,4e-05,1e-05,0.0001111,,3.77e3,50.7,13.42
10.0,nom,1e-06,4e-05,1e-05,0.00011559999999999999,,3.778e3,50.36,13.72
11.0,nom,1e-06,4e-05,1e-05,0.00011999999999999999,,3.785e3,49.87,13.92
12.0,nom,1e-06,4e-05,8e-06,0.0001,,4.22e3,54.09,11.62
13.0,nom,1e-06,4e-05,8e-06,8e-05,,4.149e3,55.62,22.79
14.0,nom,1e-06,4e-05,8e-06,8.444e-05,,4.163e3,55.39,18.14
15.0,nom,1e-06,4e-05,8e-06,8.889e-05,,4.176e3,55.09,15.02
16.0,nom,1e-06,4e-05,8e-06,9.333e-05,,4.188e3,54.42,12.87
17.0,nom,1e-06,4e-05,8e-06,9.778e-05,,4.209e3,54.21,11.86
18.0,nom,1e-06,4e-05,8e-06,0.0001022,,4.224e3,53.73,11.23
19.0,nom,1e-06,4e-05,8e-06,0.00010669999999999999,,4.245e3,53.47,11.27
20.0,nom,1e-06,4e-05,8e-06,0.0001111,,4.262e3,53.03,11.35
21.0,nom,1e-06,4e-05,8e-06,0.00011559999999999999,,4.273e3,52.34,11.32
22.0,nom,1e-06,4e-05,8e-06,0.00011999999999999999,,4.296e3,52.11,11.92
23.0,nom,1e-06,4e-05,8.443999999999999e-06,0.0001,,4.093e3,53.54,11.97
24.0,nom,1e-06,4e-05,8.443999999999999e-06,8e-05,,4.041e3,54.99,22.51
25.0,nom,1e-06,4e-05,8.443999999999999e-06,8.444e-05,,4.051e3,54.6,18.28
26.0,nom,1e-06,4e-05,8.443999999999999e-06,8.889e-05,,4.058e3,54.14,15.02
27.0,nom,1e-06,4e-05,8.443999999999999e-06,9.333e-05,,4.071e3,53.8,13
28.0,nom,1e-06,4e-05,8.443999999999999e-06,9.778e-05,,4.085e3,53.61,12.12
29.0,nom,1e-06,4e-05,8.443999999999999e-06,0.0001022,,4.097e3,53.29,11.72
30.0,nom,1e-06,4e-05,8.443999999999999e-06,0.00010669999999999999,,4.113e3,53.1,11.93
31.0,nom,1e-06,4e-05,8.443999999999999e-06,0.0001111,,4.121e3,52.64,11.97
32.0,nom,1e-06,4e-05,8.443999999999999e-06,0.00011559999999999999,,4.128e3,52,11.93
33.0,nom,1e-06,4e-05,8.443999999999999e-06,0.00011999999999999999,,4.142e3,51.79,12.56
34.0,nom,1e-06,4e-05,8.888999999999999e-06,0.0001,,3.987e3,52.93,12.27
35.0,nom,1e-06,4e-05,8.888999999999999e-06,8e-05,,3.941e3,54.48,21.34
36.0,nom,1e-06,4e-05,8.888999999999999e-06,8.444e-05,,3.948e3,54,18.09
37.0,nom,1e-06,4e-05,8.888999999999999e-06,8.889e-05,,3.958e3,53.62,15.04
38.0,nom,1e-06,4e-05,8.888999999999999e-06,9.333e-05,,3.97e3,53.39,13.34
39.0,nom,1e-06,4e-05,8.888999999999999e-06,9.778e-05,,3.982e3,53.13,12.52
40.0,nom,1e-06,4e-05,8.888999999999999e-06,0.0001022,,3.989e3,52.59,11.92
41.0,nom,1e-06,4e-05,8.888999999999999e-06,0.00010669999999999999,,4.004e3,52.45,12.18
42.0,nom,1e-06,4e-05,8.888999999999999e-06,0.0001111,,4.011e3,51.91,12.14
43.0,nom,1e-06,4e-05,8.888999999999999e-06,0.00011559999999999999,,4.019e3,51.37,12.27
44.0,nom,1e-06,4e-05,8.888999999999999e-06,0.00011999999999999999,,4.034e3,51.22,12.95
45.0,nom,1e-06,4e-05,9.333e-06,0.0001,,3.887e3,52.33,12.6
46.0,nom,1e-06,4e-05,9.333e-06,8e-05,,3.845e3,53.92,20.64
47.0,nom,1e-06,4e-05,9.333e-06,8.444e-05,,3.852e3,53.52,17.8
48.0,nom,1e-06,4e-05,9.333e-06,8.889e-05,,3.859e3,53.12,15.2
49.0,nom,1e-06,4e-05,9.333e-06,9.333e-05,,3.868e3,52.74,13.59
50.0,nom,1e-06,4e-05,9.333e-06,9.778e-05,,3.878e3,52.33,12.55
